"Level 1","Level 2","Level 3","Priority","Progress","Start","Due","Duration (Days)","Milestone","Resources","Look for","Results",
"Prospectus Download","Download Form",,,,,,,,,,,
"Prospectus Download","Add Prospectus (PDF or Doc) from the back end",,,,,,,,,,,
"Courses","Online MBA","Description",,,,,,,,,,
"Courses","Online MBA","Apply Online",,,,,,,,,,
"Courses","Online Executive MBA",,,,,,,,,,,
"Courses","Online DBA",,,,,,,,,,,
"Courses","Fast Track Online MBA",,,,,,,,,,,
"Courses","Fast Track Online Executive MBA",,,,,,,,,,,
"Courses","..Other subjects",,,,,,,,,,,
"Apply Online",,,,,,,,,,,,
"Sample MBA Videos","Static or Dynamic Content?",,,,,,,,,,,
"About Us",,,,,,,,,,,,
"LMS Portal Sign On","API Integration & Customization",,,,,,,,,,,
"MBA Journals","Journal to be entered from the back end",,,,,,,,,,,
"Contact Us",,,,,,,,,,,,
"Topic Search","No matches found",,,,,,,,,"Topic Search","10",
"Home Page for Web App",,,,,,,,,,,,
